FY,Total_Tax_Levy,Total_Collections
2015,59015212,58566311
2016,61337920,60800474
2017,63948938,63383629
2018,66315447,65799234
2019,67829212,67600526
2020,69813033,69584834
2021,72154578,71931656
2022,76282235,75939735
2023,79085270,77711401
2024,82171513,79465049
