FY,Total_Tax_Levy
2001,30241152
2002,33402444
2003,34497302
2004,37870060
2005,39870372
2006,44199627
2007,45347717
2008,46775321
2009,48097849
2010,50236558
2011,51376323
2012,53651430
2013,54785294
2014,56761148
2015,59015212
2016,61337920
2017,63948938
2018,66315447
2019,67829212
2020,69813033
2021,72154578
2022,76282235
2023,79085270
2024,82171513
