FY,Pension_Expenditure
2001,5074648
2002,5080649
2003,5571615
2004,6137142
2005,6533588
2006,6728821
2007,7101736
2008,7252902
2009,7771803
2010,8117079
2011,8333338
2012,8758191
2013,8886922
2014,9231574
2015,6171613
2016,8420207
2017,10955785
2018,11827291
2019,12051455
2020,14608035
2021,16031873
2022,10372915
2023,11355953
2024,12491338
