org1,org2,org3,org4,org5,org6,fiscal_year,depth,amount_usd,snapshot_date,source_url
PUBLIC WORKS,TREE,UNDEFINED,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,9247.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,MIDDLE SCHOOL,UNDEFINED,CONTRACTED SERVICES,EDUCATION,EDUCATION,FY2026,6,9182.42,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,SELECT BOARD,UNDEFINED,PROFESSIONAL SALARY,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,9135.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,EXPENSES,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,8924.67,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,HARBOR,EXPENSES,SUPPLIES AND MATL,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,8706.13,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,HUMAN RESOURCES,EXPENSES,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,8525.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,HEALTH,UNDEFINED,SUPPLIES AND MATL,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,8390.31,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,CEMETERY,ART 30 2024 CAPITAL TRANSFERS,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,8205.92,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,FIRE,SALARIES,PROFESSIONAL SALARY,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,8100.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,EXPENSES,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,8029.06,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,PUBLIC BUILDINGS,ART 6 2024 PURCHASE OF EQUIP,CAPITAL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,7735.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
