org1,org2,org3,org4,org5,org6,fiscal_year,depth,amount_usd,snapshot_date,source_url
PUBLIC WORKS,PUBLIC WORKS,ART 7 2024 LEASE PURCHASE,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,67104.52,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,EXPENSES,SUPPLIES AND MATL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,67016.78,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,POLICE,SALARIES,PROFESSIONAL SALARY,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,66299.34,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,PUBLIC BUILDINGS,ART 11 2022 CAPITAL IMPROV,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,65025.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,POLICE,EXPENSES,SUPPLIES AND MATL,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,64731.03,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,DRAINS,ART 14 DRAIN CONSTRUCTION,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,63957.46,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,PUBLIC WORKS,EXPENSES,SUPPLIES AND MATL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,62862.79,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,ATM25A8-SCH-GLOVER PLAYGROUND,CAPITAL,EDUCATION,EDUCATION,FY2026,6,60000.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,UNDEFINED,SUPPLIES AND MATL,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,59265.31,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,BROWN SCHOOL,UNDEFINED,SUPPLIES AND MATL,EDUCATION,EDUCATION,FY2026,6,58197.14,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,PUBLIC BUILDINGS,ATM25A6-PB-F-150 CREW CAB,CAPITAL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,57820.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WASTE COLLECTION,ATM25A6-WASTE-F-150 CREW CAB,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,57820.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,HIGH SCHOOL,UNDEFINED,OTHER EXPENSE,EDUCATION,EDUCATION,FY2026,6,54902.26,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WASTE COLLECTION,EXPENSES,SUPPLIES AND MATL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,54694.61,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,VILLAGE SCHOOL,UNDEFINED,SUPPLIES AND MATL,EDUCATION,EDUCATION,FY2026,6,54502.35,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
OTHER,OTHER GOVERNMENTAL,STREET LIGHTING,CONTRACTED SERVICES,OTHER,OTHER,FY2026,6,52735.86,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,GLOVER SCHOOL,UNDEFINED,SUPPLIES AND MATL,EDUCATION,EDUCATION,FY2026,6,52119.53,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WASTE COLLECTION,LANDFILL MONITORING EXPENSE,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,51874.72,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,COUNCIL ON AGING,UNDEFINED,CONTRACTED SERVICES,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,48271.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,FIRE,EXPENSES,SUPPLIES AND MATL,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,46180.84,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,POLICE,ATM25A7-POL-2 FORD HYBRIDS,CAPITAL,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,45592.35,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,UNDEFINED,PROFESSIONAL SALARY,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,43728.02,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,BUILDING INSPECTION,EXPENSES,CONTRACTED SERVICES,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,42661.98,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,A11 2024 SEWER CONSTRUCTION,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,42585.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,COMMUNITY DEVELOP AND PLANNING,UNDEFINED,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,42329.67,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,UNDEFINED,CHRG SVC OTHER,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,41945.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,FIRE,EXPENSES,PROFESSIONAL SALARY,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,41791.9,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,POLICE,ATM25A6-POL-PORTABLE RADIOS,CAPITAL,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,40545.64,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,PARK FACILITY,CONTRACTED SERVICES,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,40150.53,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,PUBLIC WORKS,ATM25A7-DPW-BUCKET LIFT TRUCK,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,39262.94,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,VILLAGE SCHOOL,UNDEFINED,UNDEFINED,EDUCATION,EDUCATION,FY2026,6,39040.31,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,ATM25A7-P&R-WIDE AREA MOWER,CAPITAL,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,38305.07,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,DRAINS,A15 20 DRAIN CONSTRUCTION,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,38271.34,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
