municipality,population,dor_income_per_capita,eqv_per_capita,avg_sf_tax_bill,bill_pct_income,residential_tax_rate,residential_pct_of_levy,total_tax_levy,levy_per_capita,new_growth,new_growth_pct_of_levy,education_spending,education_pct_of_gf,total_assessed_value,free_cash,bond_rating_sp,land_area_sqmi
Templeton,8387,35318,137999,4490,12.7,12.12,92.06,14086053,1680,227736,1.62,8350867,43.8,1162215553,868008,,31.88
Tewksbury,31796,52132,242202,8608,16.5,13.22,74.24,114080610,3588,2188594,1.92,63554500,50.0,7583361995,7132516,AA+,20.72
Tisbury,4927,31588,1085947,12513,39.6,7.57,91.33,36333815,7374,323190,0.89,14349378,35.9,5217395323,10270458,AA+,6.52
Tolland,474,34310,551902,3196,9.3,7.47,85.98,1992970,4205,28823,1.45,527665,18.8,266796477,499892,,31.55
Topsfield,6620,95770,317918,14483,15.1,14.99,93.32,30843983,4659,220935,0.72,20901390,59.8,2057637299,1811928,AAA,11.9
Townsend,9220,42958,162584,6459,15.0,14.52,92.59,21678623,2351,168242,0.78,14918837,57.0,1493018145,628955,,32.71
Truro,2484,60587,1634638,8064,13.3,6.18,95.48,21949669,8836,202662,0.92,6167805,24.5,3829262880,4061343,AA+,20.95
Tyngsborough,12779,52345,224466,8340,15.9,12.34,88.41,34419641,2693,456387,1.33,25097162,50.7,2789273948,492619,AA+,16.8
Tyringham,419,27933,593629,4547,16.3,6.12,92.36,1542444,3681,20605,1.34,242450,11.9,252033270,176435,,18.63
Upton,8475,67417,230950,8759,13.0,13.15,95.15,25481874,3007,190310,0.75,15821980,58.0,1937785059,4187711,AA+,21.6
Uxbridge,14703,47913,224284,6814,14.2,13.11,75.1,42927257,2920,1100610,2.56,27440975,49.4,3223660402,5622785,AA,29.59
Wakefield,29216,60266,266323,9628,16.0,11.35,80.69,95051344,3253,1099980,1.16,52337200,48.4,7645488694,11620315,AAA,7.39
Wales,1828,30802,149819,4588,14.9,14.42,92.59,3947079,2159,36870,0.93,2968273,53.2,273722572,807814,,15.75
Walpole,26391,73347,280098,10346,14.1,12.83,85.38,95424767,3616,768339,0.81,55196102,47.9,7154774270,14158083,AAA,20.45
Waltham,65849,49410,309997,5189,10.5,9.82,38.67,244039544,3706,7063576,2.89,106742106,44.6,20186476513,51180912,AA+,12.74
Ware,10142,28885,112242,5231,18.1,15.06,85.44,18033820,1778,78365,0.43,18016375,49.9,1197464830,3140689,AA,34.38
Wareham,23526,32017,253043,4087,12.8,8.55,85.0,52402462,2227,611491,1.17,36262007,47.0,6128942918,8236642,AA+,35.82
Warren,5086,24434,121045,4580,18.7,14.81,86.97,8559392,1683,89410,1.04,4919982,43.9,577946762,1288587,,27.53
Warwick,774,26530,163835,4795,18.1,17.78,93.71,2130376,2752,16714,0.78,1272347,47.7,119818678,536646,,37.35
Washington,497,40278,232365,5204,12.9,14.16,94.41,1714841,3450,11631,0.68,1019019,44.7,121104574,188897,,38.0
Watertown,35985,63164,365242,8094,12.8,11.68,50.02,168563298,4684,6280874,3.73,57047398,36.4,12882956050,43649326,AAA,4.0
Wayland,14054,156292,410061,18259,11.7,15.63,95.8,89305286,6354,558152,0.62,50112661,51.2,5713709895,10009250,,15.04
Webster,17817,34788,153644,5474,15.7,11.88,85.6,32285868,1812,445643,1.38,29511233,50.3,2717665650,6530492,AA,12.36
Wellesley,31242,212430,576575,20551,9.7,10.28,89.42,180234295,5769,2655734,1.47,89921786,47.3,17532518960,28171581,,10.02
Wellfleet,3645,58327,1171126,7384,12.7,7.11,96.27,27856221,7642,77725,0.28,7181916,23.8,4200351620,4505953,AA+,19.78
Wendell,916,24472,149644,5565,22.7,20.95,82.55,3132957,3420,12565,0.4,2104135,55.8,149544467,287678,,31.85
Wenham,4945,97669,280553,16164,16.5,15.54,97.62,21393804,4326,260973,1.22,11848346,54.4,1376692636,2071692,AAA,7.66
West Boylston,7938,46024,198139,7621,16.6,13.87,83.47,22144285,2790,97908,0.44,14046747,47.9,1596559807,2154267,AA+,12.95
West Bridgewater,7771,54184,231985,7433,13.7,13.67,57.79,31420926,4043,1513712,4.82,17194271,44.0,1868575743,3288969,AA+,15.33
West Brookfield,3917,44918,165392,4446,9.9,10.78,89.84,7115377,1817,59001,0.83,4807479,52.6,660053521,969596,,20.47
West Newbury,4680,85332,331018,9893,11.6,10.8,97.45,16510001,3528,120973,0.73,9838721,54.7,1528703755,2033111,AAA,13.45
West Springfield,29028,37351,137094,5041,13.5,14.87,54.81,75530020,2602,1716212,2.27,50361324,46.7,3911200635,11237763,AA,16.73
West Stockbridge,1323,62534,495994,6943,11.1,9.62,93.61,6078123,4594,45221,0.74,3391845,51.5,631821526,617409,,18.45
West Tisbury,3637,40720,1361020,8862,21.8,4.53,95.69,21348128,5870,222860,1.04,12798416,53.5,4777233820,1356066,AA+,25.03
Westborough,22643,67279,282781,12900,19.2,16.29,70.35,100886572,4456,3103981,3.08,64740386,51.3,6193159720,13900288,AAA,20.6
Westfield,40403,34787,124569,5787,16.6,15.18,70.53,88402461,2188,981418,1.11,69339361,49.6,5000403843,14955570,AA,46.26
Westford,25024,82930,285743,11171,13.5,13.47,90.36,95710863,3825,684063,0.71,67152132,62.0,7105483488,5653000,AAA,30.25
Westhampton,1629,55175,178486,7149,13.0,20.79,94.08,5752961,3532,89720,1.56,3221481,54.5,276717704,420031,AA+,27.18
Westminster,8509,50728,206330,5992,11.8,12.3,89.08,20963748,2464,169277,0.81,12506369,47.0,1704369726,4140642,AAA,35.44
Weston,11827,340262,755621,26313,7.7,11.1,95.87,96519496,8161,1271259,1.32,46524148,46.1,8695450100,11824963,AAA,16.82
Westport,16705,54579,312127,4931,9.0,7.45,92.13,39584200,2370,736614,1.86,23467474,46.0,5313315430,3492263,,49.82
Westwood,16533,127497,440536,16097,12.6,12.8,78.21,99900752,6043,931732,0.93,55200667,51.1,7001436581,14302047,AAA,10.88
Weymouth,60159,45212,222981,6208,13.7,10.1,80.89,141725766,2356,2207521,1.56,88851207,50.9,13046633170,7207832,AA,16.76
Whately,1626,31550,231314,5850,18.5,13.34,77.75,5115397,3146,126333,2.47,3289421,53.9,383463044,999018,,20.16
Whitman,15459,42535,173768,6861,16.1,13.12,89.63,34905753,2258,174947,0.5,22103728,50.8,2660499457,2234345,,6.94
Wilbraham,14663,54903,175052,8186,14.9,17.88,89.16,47337113,3228,548488,1.16,29187941,59.0,2647489561,4125286,AA+,22.04
Williamsburg,2475,34490,172751,6968,20.2,18.97,89.33,7692080,3108,44199,0.57,4677071,49.7,405486578,1212025,AA+,25.54
Williamstown,9189,35464,155127,7996,22.5,13.8,89.94,20607332,2243,266794,1.29,13543804,56.0,1493284945,1248858,,46.73
Wilmington,23802,60329,317890,8661,14.4,11.45,56.05,111199306,4672,4600849,4.14,60292211,55.7,7268891137,43207379,AAA,16.97
Winchendon,10587,28782,120359,4720,16.4,11.75,91.03,14961849,1413,133339,0.89,19167897,55.9,1273348873,0,AA,43.02
Winchester,23953,143928,485718,18272,12.7,11.09,95.87,125787751,5251,1059299,0.84,64744510,46.7,11368910570,24119014,AAA,6.03
Windsor,817,40977,208776,2846,6.9,11.34,85.71,1916615,2346,33860,1.77,1076931,39.8,169013655,103152,,34.99
Winthrop,18739,47434,206705,8293,17.5,10.32,93.91,39336929,2099,407585,1.04,26486993,44.8,3811717880,2081694,AA+,1.99
Woburn,43895,52300,283560,6755,12.9,8.54,53.94,139076018,3168,5483525,3.94,81934497,47.0,11923007421,43748819,AAA,12.65
Worcester,211286,26358,113653,5446,20.7,13.19,63.36,399865445,1893,9700223,2.43,377110987,51.0,24328752608,25171869,AA-,37.36
Worthington,1181,50738,231612,5327,10.5,13.79,92.27,3743281,3170,58682,1.57,1888003,40.6,271448970,223525,,31.96
Wrentham,12516,73106,280753,8307,11.4,11.59,76.58,44210184,3532,573327,1.3,27373300,54.1,3512970421,5064828,AA+,21.71
Yarmouth,25208,43768,430964,4949,11.3,7.08,92.72,78211453,3103,335185,0.43,44956703,45.9,11046815417,11805769,AA+,24.16
