municipality,population,dor_income_per_capita,eqv_per_capita,avg_sf_tax_bill,bill_pct_income,residential_tax_rate,residential_pct_of_levy,total_tax_levy,levy_per_capita,new_growth,new_growth_pct_of_levy,education_spending,education_pct_of_gf,total_assessed_value,free_cash,bond_rating_sp,land_area_sqmi
Mashpee,15482,56318,648028,6346,11.3,6.42,93.06,60794473,3927,628812,1.03,27046761,38.1,9920545040,14703722,AAA,23.37
Mattapoisett,6763,80037,419023,8244,10.3,10.76,94.03,29345674,4339,392453,1.34,15130971,49.2,2727293119,2671064,AAA,17.34
Maynard,10820,53406,205791,10081,18.9,17.83,87.75,41068220,3796,510759,1.24,23521105,46.8,2229579708,1527026,,5.21
Medfield,13334,111805,307851,13904,12.4,13.8,94.87,56417348,4231,522319,0.93,42679929,60.9,4088213604,5625563,,14.41
Medford,59898,55839,274847,7427,13.3,8.8,80.68,153505642,2563,2525329,1.65,71152446,37.5,15824349904,28343997,AA+,8.1
Medway,13836,69807,262969,9786,14.0,14.25,79.8,51201150,3701,795675,1.55,31932139,48.2,3593063132,6090669,AAA,11.54
Melrose,29938,69170,272136,9787,14.1,9.9,91.37,79559013,2657,770138,0.97,43856748,39.4,7729420330,5850996,AA+,4.68
Mendon,6441,66023,243469,8781,13.3,13.39,89.65,20654654,3207,315101,1.53,12659491,55.1,1542901610,2483185,AA+,17.77
Merrimac,6810,52905,209993,8778,16.6,13.25,96.27,18860765,2770,178591,0.95,12988405,58.4,1423453961,524123,AA+,8.5
Methuen,54272,38729,177033,6037,15.6,10.58,79.6,112756012,2078,1349501,1.2,104309111,57.5,9602750246,20926263,AA-,22.21
Middleborough,24847,40662,177922,6994,17.2,13.41,84.3,59056040,2377,804008,1.36,44500320,46.0,4364947170,3144393,AA,69.04
Middlefield,397,24970,213046,4392,17.6,18.24,90.22,1556121,3920,21348,1.37,410534,26.8,85313632,388359,,24.1
Middleton,9959,78211,342756,12219,15.6,11.89,83.96,39048170,3921,384657,0.99,26779710,59.1,3284118564,6719465,AA+,13.45
Milford,30640,40990,184322,6735,16.4,12.8,71.02,84345827,2753,1445117,1.71,74209536,53.5,5731257959,7481058,,14.75
Millbury,14173,45239,194882,6540,14.5,13.39,82.6,37712757,2661,772493,2.05,26484278,50.8,2816486708,2961001,AA,15.72
Millis,9338,61956,238817,10230,16.5,16.4,92.41,35003351,3748,955667,2.73,20671601,47.6,2134350686,3470567,,12.03
Millville,3187,41356,149419,5762,13.9,13.19,93.35,6016964,1888,26475,0.44,4259834,59.4,456176188,362557,,4.86
Milton,28811,107276,323553,12769,11.9,11.09,93.48,101939556,3538,1290115,1.27,62651040,55.0,8985251078,4563122,AAA,13.01
Monroe,115,6348,296420,1859,29.3,8.99,28.38,563854,4903,1333,0.24,273528,28.5,37626057,270149,,10.69
Monson,8164,38786,143024,5265,13.6,14.87,91.85,17447509,2137,131486,0.75,12867781,45.5,1173336151,2157530,AA,44.22
Montague,8437,29366,151724,4928,16.8,15.21,58.85,22474989,2664,223459,0.99,13036490,52.0,1250841802,1388324,AA,30.15
Monterey,1085,52418,664113,5815,11.1,6.44,96.29,4650962,4287,122456,2.63,1833333,35.6,722199092,327704,,26.43
Montgomery,837,40480,189789,4822,11.9,11.34,93.77,1881981,2248,15625,0.83,1298633,58.9,165959523,579280,,14.95
Mount Washington,157,71739,769334,3720,5.2,6.08,96.97,736436,4691,22344,3.03,199610,20.1,121124286,159915,,22.25
Nahant,3338,74827,438840,9654,12.9,9.15,96.21,12929869,3874,75266,0.58,4450433,32.7,1413100416,813815,,1.08
Nantucket,14670,90622,2774410,9904,10.9,3.28,88.75,127179980,8669,2241849,1.76,37839425,38.4,38854659253,15500540,AA+,46.19
Natick,37316,77821,338770,11413,14.7,11.96,82.94,145480959,3899,1684404,1.16,84694338,45.7,12163959770,7838033,AAA,14.96
Needham,32931,139002,433511,16690,12.0,10.6,77.13,192425222,5843,5854748,3.04,100522575,47.8,16106555650,21625873,AAA,12.3
New Ashford,249,30799,238126,2795,9.1,5.66,86.35,368013,1478,5271,1.43,269196,51.0,65019935,906853,,13.46
New Bedford,101318,23310,109855,4653,20.0,11.31,71.53,155248056,1532,3629710,2.34,244063920,53.5,11753066737,3670860,AA-,20.0
New Braintree,1010,49500,178788,5884,11.9,14.86,90.77,2627020,2601,41092,1.56,1520329,51.8,176784670,246626,,20.76
New Marlborough,1503,45527,548280,5050,11.1,6.94,95.24,5932429,3947,73838,1.24,2821274,38.2,854816840,1462341,,46.89
New Salem,1023,31610,173523,4951,15.7,13.58,90.97,2619973,2561,15238,0.58,1934647,52.7,192928790,1050510,,44.76
Newbury,6880,85166,406831,7201,8.5,7.45,95.74,20658948,3003,200126,0.97,11645122,50.7,2773013138,2536375,AAA,23.37
Newburyport,19163,79681,386683,10249,12.9,9.58,90.09,71244907,3718,749226,1.05,38564593,45.2,7436837929,3504763,AAA,8.35
Newton,90700,167243,491284,17077,10.2,9.8,85.88,440995068,4862,5949776,1.35,227070108,51.6,42039978200,23633416,AAA,17.83
Norfolk,11962,73622,238099,11718,15.9,15.97,93.27,43368255,3626,575095,1.33,27160851,52.2,2715607682,3287426,AA+,14.9
North Adams,12492,22124,83513,3894,17.6,16.71,64.57,22443741,1797,430186,1.92,20618168,40.3,1093077758,66369,A,20.35
North Andover,32135,69633,269027,9531,13.7,11.26,79.1,99369474,3092,5294033,5.33,64823870,54.2,8293301588,9706266,AAA,26.28
North Attleborough,31210,50966,194982,6931,13.6,11.79,82.0,72109772,2310,426163,0.59,52102834,51.8,5843132580,5541193,AA+,18.86
North Brookfield,4797,36364,140722,4767,13.1,14.17,87.84,9375002,1954,99628,1.06,7555597,47.8,661609147,1277497,AA-,21.25
North Reading,16379,82388,305464,11495,14.0,13.06,88.43,64845255,3959,1572894,2.43,38358465,47.9,4965180329,7604096,,13.16
Northampton,31315,44647,171092,7801,17.5,13.93,83.77,78413454,2504,993237,1.27,49405918,41.7,5629106523,11657751,AAA,34.25
Northborough,15867,75270,286197,10461,13.9,14.25,72.97,64378721,4057,523971,0.81,43431084,62.4,4517804968,4627145,,18.47
Northbridge,16719,46854,165382,5922,12.6,11.79,87.95,32886741,1967,322298,0.98,28337743,51.5,2789375840,3785953,AA+,17.27
Northfield,2880,38501,239578,4537,11.8,13.84,60.72,9527264,3308,127582,1.34,5392200,55.7,688386100,1057106,,34.26
Norton,19392,47933,202329,7367,15.4,12.97,79.21,51743932,2668,1605846,3.1,36449353,49.7,3940179470,6254039,AA+,27.83
Norwell,11477,119269,373505,13675,11.5,13.07,88.24,55435666,4830,354173,0.64,33413261,50.7,4241443468,4356050,AAA,20.94
Norwood,31764,58355,259552,7065,12.1,10.52,57.51,107785190,3393,1080518,1.0,60558699,41.3,7795948498,29853677,AA+,10.38
Oak Bluffs,5407,34583,1190132,6996,20.2,5.05,94.67,30790593,5695,212300,0.69,15760849,40.0,6266725150,4571205,AA+,7.29
Oakham,1914,45354,176910,4888,10.8,11.55,92.96,3792158,1981,16362,0.43,2835858,61.5,328325327,180501,,20.82
Orange,7583,26055,115584,4910,18.8,16.45,82.62,15263702,2013,141145,0.92,14043506,51.5,927884601,978675,AA-,35.06
Orleans,6485,69762,1036342,8969,12.9,6.24,93.51,42006870,6478,387403,0.92,12673592,29.8,6731870160,5574831,AAA,14.16
Otis,1619,49442,545243,3365,6.8,6.46,94.15,6089027,3761,33821,0.56,2514411,32.2,942573784,1228498,AA,35.56
Oxford,13503,39486,167597,5192,13.1,12.67,81.15,29540964,2188,271728,0.92,21882563,46.0,2283385726,2558340,,26.52
Palmer,12388,31465,113999,5014,15.9,16.48,85.51,24263571,1959,591838,2.44,19714831,49.9,1472304083,3109167,,31.58
Paxton,5043,49307,166101,7989,16.2,14.74,96.59,12721537,2523,76322,0.6,7937405,50.8,863062187,638276,,14.69
Peabody,55418,41212,216744,6411,15.6,9.26,71.16,130515935,2355,1103802,0.85,84279727,43.1,12008951052,9489728,,16.24
Pelham,1343,46113,197210,9213,20.0,16.97,92.79,4780550,3560,36105,0.76,3180273,60.4,281705951,891347,AA+,25.1
Pembroke,18428,56690,235707,7521,13.3,12.02,88.67,51282432,2783,444385,0.87,37777721,51.1,4266425271,3453370,AA,21.79
Pepperell,11877,51009,178034,7578,14.9,14.63,94.85,30566575,2574,286542,0.94,21181592,62.3,2089307926,1086185,,22.57
Peru,798,26960,167137,4689,17.4,15.95,86.3,2160789,2708,58234,2.7,1208959,48.7,135472660,258066,,25.93
Petersham,1246,46437,204547,5707,12.3,14.49,89.51,3644961,2925,54229,1.49,2913485,56.7,251550079,60863,AA+,54.23
Phillipston,1759,44156,201565,4724,10.7,11.27,94.86,4262020,2423,67262,1.58,2145547,46.4,378173949,799440,,24.25
Pittsfield,43121,33558,120398,5518,16.4,17.94,67.21,114321011,2651,1872514,1.64,79226914,40.5,5270539121,8178625,A+,40.47
Plainfield,649,30320,195198,4801,15.8,18.48,65.68,2765302,4261,265901,9.62,1226599,39.4,149637533,302606,,21.12
Plainville,10067,51750,242275,6958,13.4,11.56,58.74,32396192,3218,490844,1.52,19337092,47.0,2357885320,3367934,,10.99
Plymouth,66663,49272,273527,7731,15.7,12.69,85.92,230733926,3461,4022797,1.74,114931425,49.3,18182342453,20245586,AA+,96.44
Plympton,2964,53567,265185,9007,16.8,15.89,75.08,11941235,4029,127739,1.07,6995590,48.5,751493700,598401,AA+,14.68
Princeton,3597,71066,226144,8050,11.3,14.53,96.73,11474687,3190,170534,1.49,6203042,48.5,789723794,1108069,,35.43
Provincetown,3729,90125,1565857,11185,12.4,5.6,86.26,29519955,7916,190710,0.65,5179637,13.4,5658649400,3461645,AA+,9.68
Quincy,103434,48421,235479,8250,17.0,11.53,75.32,312300451,3019,7187545,2.3,131477617,32.1,23750892826,3430272,AA,16.57
Randolph,35114,34979,177494,6328,18.1,11.61,80.42,77013079,2193,763136,0.99,53577033,44.8,6015285408,13747849,AA,9.83
Raynham,15861,49678,213099,7283,14.7,12.1,74.32,43952335,2771,359740,0.82,25572570,49.0,3390833768,4856624,AA+,20.48
Reading,26041,81402,306533,10300,12.7,11.39,93.01,89392138,3433,692707,0.77,57931255,49.4,7832363065,19293779,AAA,9.98
Rehoboth,13537,57761,217627,6623,11.5,11.15,91.01,33328237,2462,902759,2.71,23048147,60.2,2989079523,1424973,,46.93
Revere,60702,33133,198019,5574,16.8,9.07,75.74,120249280,1981,3739280,3.11,119583146,49.2,11657759730,4452682,AA,5.7
Richmond,1405,60195,469146,6630,11.0,9.88,93.75,6440009,4584,48701,0.76,4095968,53.4,651822817,649900,AA+,18.71
Rochester,5936,55216,267863,6745,12.2,10.82,86.08,17077861,2877,408813,2.39,14102394,56.3,1578360510,2312106,AA+,33.57
Rockland,17708,39777,195738,7603,19.1,13.67,80.42,47082374,2659,337528,0.72,32935079,41.9,3444211690,3195256,AA,10.03
Rockport,7091,62753,487008,8548,13.6,8.76,95.21,29245332,4124,66390,0.23,14491570,39.6,3338508168,3067102,AA+,6.99
Rowe,419,34659,1236307,1661,4.8,5.14,7.0,5110762,12198,454970,8.9,1679911,29.9,501314792,492722,,23.44
Rowley,6334,62574,287466,9235,14.8,11.77,87.3,20929740,3304,168691,0.81,13204129,55.6,1778227731,2676164,AA+,18.2
Royalston,1291,30277,190316,3507,11.6,9.62,92.48,2259235,1750,48073,2.13,809174,30.1,234847690,411835,,41.79
Russell,1640,40382,146560,5854,14.5,18.3,85.5,4220857,2574,16288,0.39,2645525,57.9,230647897,2233728,,17.47
Rutland,9637,46916,161009,6630,14.1,14.24,94.95,22456994,2330,500834,2.23,16004059,59.9,1577036130,997314,AA,35.13
Salem,45677,41885,205239,7285,17.4,11.34,72.36,122087299,2673,1221612,1.0,73994898,43.4,9282354028,17700973,AA,8.29
Salisbury,9415,42733,290038,6126,14.3,10.08,85.24,27652697,2937,367015,1.33,16342089,48.5,2743323066,1161532,AA,15.37
Sandisfield,984,25908,350842,3489,13.5,9.02,80.81,3403552,3459,15006,0.44,1583299,39.7,349666899,816809,,51.8
Sandwich,20507,56002,369618,7818,14.0,10.57,89.15,78756420,3840,710563,0.9,41045923,43.2,7450938540,4228566,AA+,42.87
Saugus,29029,46142,256714,7126,15.4,10.68,71.01,89981684,3100,580294,0.64,34737459,32.3,7170611202,16896522,AA+,10.78
Savoy,655,35295,152080,3995,11.3,16.62,92.75,1537890,2348,15606,1.01,987649,50.0,92532504,224994,,35.85
Scituate,19598,92061,424255,10191,11.1,9.99,96.43,82263992,4198,823361,1.0,49433097,49.8,8234633800,5978353,AA+,17.22
Seekonk,15912,48467,222418,6852,14.1,12.35,66.37,53959841,3391,685612,1.27,33011577,49.4,3589625351,4677000,AA+,18.4
