FY,Employee_Benefits
2005,6153016
2006,8884059
2007,9125175
2008,9242492
2009,9716952
2010,9999049
2011,8786164
2012,10841607
2013,10037694
2014,10633116
2015,10423210
2016,11017859
2017,11221929
2018,11912535
2019,11836691
2020,11999760
2021,12329776
2022,12845878
2023,13057424
2024,13585512
