FY,Population,School_Enrollment
2001,20035,2792
2002,20254,2875
2003,20158,2970
2004,20461,3003
2005,21360,3067
2006,20482,3133
2007,20384,3242
2008,20039,3212
2009,20449,3262
2010,20377,3232
2011,19808,3206
2012,19808,3172
2013,19808,3269
2014,20187,3327
2015,20454,3245
2016,20517,3208
2017,20493,3264
2018,20517,3185
2019,19752,3051
2020,19789,2963
2021,20500,2703
2022,20233,2602
2023,20441,2622
2024,20576,2617
