dor_code,municipality,fiscal_year,taxes,service_charges,licenses_permits,federal_revenue,state_revenue,other_govt_revenue,special_assessments,fines,miscellaneous,other_financing,transfers,total_revenues
344,Winchester,2023,"119,752,795","3,857,019","2,080,392","34,536","11,925,076",0,0,"69,396","1,357,102",0,"8,285,840","147,362,156"
010,Arlington,2022,"149,339,339","305,199","4,422,762",0,"23,643,583","9,513","6,247","228,525","1,770,205",0,"12,870,613","192,595,986"
046,Brookline,2022,"293,181,377","10,695,663","9,645,323",0,"22,958,232",0,0,"2,203,323","-2,468,221",0,"3,203,667","339,419,364"
065,Cohasset,2022,"44,950,154","1,212,022","1,155,219","35,152","3,519,349",0,"29,668","17,235","209,803",0,"1,643,191","52,771,793"
082,Duxbury,2022,"70,752,458","4,198,861","2,477,809","203,488","6,794,490",0,0,"35,366","314,724",0,"901,584","85,678,780"
100,Framingham,2022,"213,456,910","2,863,535","4,806,706","4,195,584","70,544,127","11,518",0,"326,498","1,096,530","504,224","7,733,567","305,539,199"
131,Hingham,2022,"100,581,835","2,590,450","1,526,656","155,564","10,383,097",0,"112,218","45,248","481,331","1,431","1,325,330","117,203,160"
155,Lexington,2022,"225,806,859","3,447,430","3,172,308","954,638","16,625,082","7,313","17,292","78,798","1,080,568",0,"10,244,402","261,434,690"
168,Marblehead,2022,"80,552,274","1,075,236","1,342,352","49,049","8,236,358","3,829",0,"76,592","166,200","3,476,823","1,891,683","96,870,396"
178,Melrose,2022,"78,022,195","310,942","3,769,557",0,"15,452,176",0,"4,491","131,035","136,707",0,"6,106,102","103,933,205"
198,Natick,2022,"139,789,558","3,448,826","2,592,536","409,049","15,141,969","43,876",0,"76,058","741,993","12,000","11,589,531","173,845,396"
199,Needham,2022,"178,333,866","4,545,481","3,126,280","1,642","13,846,356","2,075",0,"65,628","517,316",0,"3,600,500","204,039,144"
284,Stoneham,2022,"60,055,072","1,620,979","1,041,614",0,"11,613,783","19,833",0,"34,284","155,044",0,"2,014,766","76,555,375"
291,Swampscott,2022,"54,258,602","751,904","663,587",0,"6,601,273","8,687",0,"29,377","232,814",0,"926,048","63,472,292"
317,Wellesley,2022,"162,132,722","1,123,082","3,448,034","872,493","10,912,857",0,0,"396,146","711,150",0,"2,258,810","181,855,294"
344,Winchester,2022,"116,777,341","3,831,692","2,798,379",0,"11,717,411",0,0,"45,542","939,274",0,"9,252,882","145,362,521"
010,Arlington,2021,"142,785,188","133,414","3,179,361",0,"23,539,328","7,932","7,708","122,582","625,613",0,"8,306,910","178,708,036"
046,Brookline,2021,"265,221,449","10,470,611","5,755,710",0,"22,295,421",0,0,"2,011,220","896,174",0,"3,371,398","310,021,983"
065,Cohasset,2021,"43,756,786","1,084,899","857,100",0,"3,392,385",0,"36,200","26,746","129,113",0,"1,001,294","50,284,523"
