fiscal_year,levy_limit
2000,27614580
2001,28591479
2002,29858263
2003,30928304
2004,33368318
2005,35174064
2006,39406426
2007,40886499
2008,42407401
2009,44016991
2010,45523653
2011,47301454
2012,48931038
2013,50731840
2014,52459472
2015,54101450
2016,55875187
2017,57779806
2018,59592925
2019,61400179
2020,63238414
2021,65122516
2022,67106065
2023,69217826
2024,71416980
2025,73526842
2026,75652398
2027,77543708
