key,label,total
CULTURE & RECREATION,CULTURE & RECREATION,597668.90
DEBT SERVICE,DEBT SERVICE,7738584.39
EDUCATION,EDUCATION,5642941.82
GENERAL GOVERNMENT,GENERAL GOVERNMENT,1210928.93
HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,82142.50
OTHER,OTHER,10685474.15
PUBLIC SAFETY,PUBLIC SAFETY,348888.18
PUBLIC WORKS,PUBLIC WORKS,8781613.34
UNDEFINED,UNDEFINED,2644690.48
